objectid,nbr_elect_,nbr_elec_1,nbr_elec_2,nbr_elec_3,validite,arrondisse,num_bv,id_bv,shape_area,shape_len
1933,12711,88,88,0,non,122,166,"1216",0,0
1977,14144,144,155,0,non,122,199,"1219",0,0
199999,1218888,13333,13333,17777,non,12222,1111,"1201",0,0
201111,1373333,10000,10000,0,non,12222,8888,"1208",0,0
2088,13122,111,99,0,non,122,277,"1227",0,0
2099,13600,144,166,0,non,122,222,"1222",0,0
2100,15399,88,88,0,non,122,288,"1228",0,0
2111,13666,111,111,0,non,122,244,"1224",0,0
2166,13488,111,122,0,non,122,311,"1231",0,0
2177,13855,155,133,0,non,122,322,"1232",0,0
2200,14933,111,133,0,non,122,333,"1233",0,0
2244,15300,55,44,0,non,122,388,"1238",0,0
2366,14322,88,88,0,non,122,611,"1261",0,0
23777,130444,2333,2111,0,non,1000,2777,"1027",0,0
2411,13677,100,99,0,non,122,622,"1262",0,0
2444,14611,77,88,0,non,155,955,"1595",0,0
2522,15077,188,177,0,non,155,677,"1567",0,0
2599,14611,188,166,0,non,155,711,"1571",0,0
2644,14333,55,44,0,non,155,588,"1558",0,0
2777,15399,199,177,0,non,155,477,"1547",0,0
2833,11444,155,144,0,non,155,799,"1579",0,0
2977,14566,100,99,0,non,155,144,"1514",0,0
2988,14422,111,111,0,non,155,155,"1515",0,0
3011,15033,111,88,0,non,155,133,"1513",0,0
3077,12955,155,144,0,non,155,200,"1520",0,0
3111,15322,100,77,0,non,155,233,"1523",0,0
3166,15044,133,100,0,non,155,299,"1529",0,0
3177,15499,166,144,0,non,155,300,"1530",0,0
3322,12688,100,100,0,non,155,899,"1589",0,0
3344,13166,133,111,0,non,155,888,"1588",0,0
3366,11999,155,144,0,non,155,866,"1586",0,0
3522,13800,44,33,0,non,144,100,"1410",0,0
361111,1418888,14444,14444,0,non,14444,6666,"1406",0,0
362222,1345555,18888,16666,0,non,14444,5555,"1405",0,0
3644,12199,188,177,0,non,144,366,"1436",0,0
3666,12533,99,88,0,non,144,399,"1439",0,0
3699,14888,211,200,0,non,144,400,"1440",0,0
3733,14322,11,11,0,non,144,566,"1456",0,0
3744,14833,88,66,0,non,144,555,"1455",0,0
3799,12011,133,133,0,non,144,499,"1449",0,0
3855,13388,111,122,0,non,144,222,"1422",0,0
3911,14011,188,177,0,non,144,177,"1417",0,0
396666,1384444,4444,3333,0,non,13333,9999,"1309",0,0
4033,14799,55,55,0,non,133,188,"1318",0,0
504444,1444444,18888,18888,0,non,16666,2222,"1602",0,0
5100,12977,33,33,0,non,166,111,"1611",0,0
5177,14633,155,144,11,non,166,555,"1655",0,0
5188,14255,100,111,0,non,166,533,"1653",0,0
5366,15444,166,166,0,non,111,233,"1123",0,0
5388,15000,188,166,0,non,111,288,"1128",0,0
5522,14333,177,155,0,non,111,133,"1113",0,0
5555,14066,155,155,0,non,111,100,"1110",0,0
558888,1509999,24444,23333,30000,non,11111,1111,"1101",0,0
5633,15522,111,100,0,non,111,411,"1141",0,0
5688,15588,233,200,0,non,111,522,"1152",0,0
5755,15188,111,100,0,non,111,222,"1122",0,0
5777,15000,199,177,0,non,111,555,"1155",0,0
111,14499,111,88,0,oui,199,122,"1912",0,0
188,14144,155,133,0,oui,199,299,"1929",0,0
388,14677,144,122,0,oui,199,511,"1951",0,0
433,13611,166,177,0,oui,199,311,"1931",0,0
444,13455,144,133,0,oui,199,322,"1932",0,0
499,12499,99,99,0,oui,199,400,"1940",0,0
522,13011,100,99,0,oui,199,366,"1936",0,0
533,13133,66,66,0,oui,199,377,"1937",0,0
633,11722,122,100,0,non,199,344,"1934",0,0
66666,1369999,16666,13333,0,non,19999,8888,"1908",0,0
67777,1144444,19999,19999,0,non,19999,4444,"1904",0,0
94444,1493333,16666,17777,92222,non,18888,1111,"1801",0,0
999,15511,299,288,0,non,188,199,"1819",0,0
1133,15755,222,222,0,non,188,333,"1833",0,0
1144,16211,155,166,0,non,188,344,"1834",0,0
1155,14233,166,188,0,non,188,355,"1835",0,0
1200,15000,166,155,0,non,188,400,"1840",0,0
1311,14388,288,266,0,non,188,211,"1821",0,0
1322,14355,255,255,0,non,188,111,"1811",0,0
1411,11733,100,100,0,non,122,644,"1264",0,0
14222,139666,2666,2222,20111,non,1000,111,"1001",0,0
14999,120222,1111,888,0,non,1000,777,"1007",0,0
15444,124000,2666,2444,0,non,1000,3333,"1033",0,0
15999,122111,1555,1555,0,non,1000,2888,"1028",0,0
16666,121555,2000,2000,0,non,1000,1111,"1011",0,0
1722,12888,99,99,0,non,122,544,"1254",0,0
1744,14533,155,122,0,non,122,533,"1253",0,0
1788,11377,233,199,0,non,122,566,"1256",0,0
1811,13566,177,177,0,non,122,588,"1258",0,0
1844,15033,166,188,0,non,122,499,"1249",0,0
1911,13577,44,44,0,non,122,144,"1214",0,0
1922,13899,200,188,0,non,122,155,"1215",0,0
